Codigo,Producto,Existencia,Precio venta,Precio mayoreo,Departamento,Actualizado
7501206639559,PUNTA DE CARBURO,0.0,71.0,0.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
7506240676058,PUNTA PARA DESARMADOR C/U,22.0,6.0,0.0,hogar (Eliminado 23/07/2024),2026-09-08 00:37:17
275,Punta Pool,12.0,40.0,0.0,conexiones para gas (Eliminado 23/07/2024),2026-09-08 00:37:17
284,Punta Pool Con Maneral,0.0,85.0,0.0,conexiones para gas (Eliminado 23/07/2024),2026-09-08 00:37:17
1358,PUNTAS PARA DESARMADOR,6.0,35.0,0.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
1352,PUNTAS PARA DESARMADOR,1.0,35.0,0.0,LION TOOLS,2026-09-08 00:37:17
1600,PUNTAS TAMPER,0.0,45.0,0.0,Herramientas (Eliminado 23/07/2024),2026-09-08 00:37:17
QCT,QUEMADOR  CON TUBO,5.0,60.0,0.0,PUEBLA,2026-09-08 00:37:17
QAG,QUEMADOR ALUMINIO GRANDE,1.0,250.0,0.0,PUEBLA,2026-09-08 00:37:17
QARM,QUEMADOR ALUMINIO REDONDO MEDIANO,2.0,220.0,0.0,PUEBLA,2026-09-08 00:37:17
QCHB66,QUEMADOR CHICO CON BASE,0.0,50.0,0.0,PUEBLA,2026-09-08 00:37:17
QCH2L,QUEMADOR CHICO CON DOS LINEAS,0.0,55.0,50.0,QUEMADORES (Eliminado 23/07/2024),2026-09-08 00:37:17
QCHP,QUEMADOR CHICO CON PESTALLA,7.0,55.0,40.0,PUEBLA,2026-09-08 00:37:17
QCDT150,Quemador Chico De Tubo,7.0,150.0,0.0,PUEBLA,2026-09-08 00:37:17
QTM66,QUEMADOR CON TUBO TIPO MABE,0.0,60.0,50.0,PUEBLA,2026-09-08 00:37:17
652,QUEMADOR DE ALUMINIO CON NIPLE Y TOBERA,1.0,180.0,0.0,PUEBLA,2026-09-08 00:37:17
